Způsob_koupě,Typ_obydlení,Počet_pokojů,Typ_kuchyně,Velikost_bytu,Cena,Ulice,Kraj
pronájem,bytu,4,k,78,32900,"Hurbanova, Praha 4 - Krč",1
pronájem,bytu,1,k,30,32000,"Holečkova, Praha 5 - Košíře",1
pronájem,bytu,1,k,33,15338,"Brunclíkova, Praha 6 - Břevnov",1
pronájem,bytu,2,k,64,22990,"Pod Harfou, Praha 9 - Vysočany",1
pronájem,bytu,1,k,44,16000,"Slavojova, Praha 2 - Nusle",1
pronájem,bytu,3,1,98,36900,"Umělecká, Praha 7 - Holešovice",1
pronájem,bytu,3,k,68,27500,"Holandská, Praha 10 - Vršovice",1
pronájem,bytu,1,k,40,26999,"Petrská, Praha 1 - Nové Město",1
pronájem,bytu,2,k,51,18500,"Beranových, Praha 9 - Letňany",1
pronájem,bytu,3,1,63,25500,"Junácká, Praha 6 - Břevnov",1
pronájem,bytu,1,k,18,17500,"Freyova, Praha 9 - Vysočany",1
pronájem,bytu,2,k,94,37900,"Olšanská, Praha 3 - Žižkov",1
pronájem,bytu,1,k,18,17500,"Freyova, Praha 9 - Vysočany",1
pronájem,bytu,1,k,35,13000,"Křížová, Praha 5 - Smíchov",1
pronájem,bytu,1,k,40,25000,"Máchova, Praha 2 - Vinohrady",1
pronájem,bytu,1,k,42,25200,"Čelakovského sady, Praha 1 - Nové Město",1
pronájem,bytu,3,k,102,50000,"Jungmannova, Praha 1 - Nové Město",1
pronájem,bytu,3,1,71,20000,"Jerevanská, Praha 10 - Vršovice, okres Praha",1
pronájem,bytu,2,k,64,30000,"Naskové, Praha 5 - Košíře, okres Praha",1
pronájem,bytu,3,1,114,59238,"Truhlářská, Praha 1 - Nové Město",1
pronájem,bytu,4,1,220,120000,"V kolkovně, Praha 1 - Staré Město",1
pronájem,bytu,3,k,90,26000,"Wassermannova, Praha 5 - Hlubočepy",1
pronájem,bytu,2,k,52,22000,"Hellichova, Praha 1 - Malá Strana",1
pronájem,bytu,2,k,52,36000,"Křižíkova, Praha 8 - Karlín",1
pronájem,bytu,4,k,140,20000,"Chemická, Praha 4 - Kunratice",1
pronájem,bytu,4,k,120,55000,"Pod Harfou, Praha 9 - Vysočany",1
pronájem,bytu,1,k,20,15642,"Bečovská, Praha 10 - Uhříněves",1
pronájem,bytu,1,k,38,16000,"Lanžhotská, Praha 5 - Zličín",1
pronájem,bytu,2,k,35,16000,"Jílovská, Praha 4 - Braník",1
pronájem,bytu,3,1,133,48000,"Břehová, Praha 1 - Josefov",1
pronájem,bytu,3,1,85,23000,"Na výtoni, Praha 2 - Nové Město",1
pronájem,bytu,3,k,101,44000,"Komornická, Praha 6 - Dejvice",1
pronájem,bytu,1,k,32,15000,"Petrohradská, Praha 10 - Vršovice",1
pronájem,bytu,4,k,90,40000,"Karmelitská, Praha 1 - Malá Strana",1
pronájem,bytu,3,k,90,38400,"Muchova, Praha 6 - Dejvice",1
pronájem,bytu,3,k,74,36000,"Maiselova, Praha 1 - Josefov",1
pronájem,bytu,1,k,27,13000,"Jandova, Praha 9 - Vysočany",1
pronájem,bytu,1,k,27,14008,"Na Větrníku, Praha 6 - Břevnov",1
pronájem,bytu,3,k,80,29300,"Slezská, Praha 2 - Vinohrady",1
pronájem,bytu,4,k,99,43900,"Walterovo náměstí, Praha 5 - Jinonice",1
pronájem,bytu,2,k,56,19200,"náměstí Olgy Scheinpflugové, Praha 5 - Hlubočepy",1
pronájem,bytu,4,k,108,49900,"Mattioliho, Praha 10 - Záběhlice",1
pronájem,bytu,2,1,50,19900,"Púchovská, Praha 4 - Záběhlice",1
pronájem,bytu,1,k,57,14000,"Hennerova, Praha 5 - Motol",1
pronájem,bytu,1,k,19,10000,"Na Petynce, Praha 6 - Břevnov",1
pronájem,bytu,2,k,43,16000,"Rochovská, Praha 9 - Hloubětín",1
pronájem,bytu,1,k,33,14000,"náměstí Olgy Scheinpflugové, Praha 5 - Hlubočepy",1
pronájem,bytu,1,k,35,19500,"Jandova, Praha 9 - Vysočany",1
pronájem,bytu,1,k,41,22500,"Jandova, Praha 9 - Vysočany",1
pronájem,bytu,2,k,55,25900,"Jandova, Praha 9 - Vysočany",1
